Date,Rented Bike Count,Hour,Temperature(°C),Humidity(%),Wind speed (m/s),Visibility (10m),Solar Radiation (MJ/m2),Rainfall(mm),Snowfall (cm),Day of the week
05/12/2017,393,22,-2.8,49,0.0,2000,0.0,0.0,0.0,1
05/12/2017,244,23,-2.5,59,0.0,1210,0.0,0.0,0.0,1
06/12/2017,145,0,-2.8,77,0.0,331,0.0,0.1,0.1,2
06/12/2017,144,1,-3.0,79,0.0,293,0.0,0.0,0.3,2
06/12/2017,117,2,-3.0,79,0.0,1862,0.0,0.0,0.4,2
06/12/2017,78,3,-3.2,78,0.0,1808,0.0,0.2,0.4,2
06/12/2017,58,4,-3.4,75,0.0,1982,0.0,0.0,0.4,2
06/12/2017,87,5,-3.6,76,0.0,1934,0.0,0.0,0.4,2
06/12/2017,142,6,-3.7,76,0.0,1864,0.0,0.0,0.4,2
06/12/2017,379,7,-4.2,77,0.0,1741,0.0,0.0,0.3,2
06/12/2017,802,8,-4.2,78,0.0,1518,0.01,0.0,0.2,2
06/12/2017,440,9,-3.3,70,0.0,1324,0.25,0.0,0.2,2
06/12/2017,307,10,-0.9,64,0.0,1224,0.63,0.0,0.2,2
06/12/2017,381,11,1.6,57,1.2,1261,0.93,0.0,0.0,2
06/12/2017,405,12,2.4,52,0.9,1224,1.08,0.0,0.0,2
06/12/2017,442,13,4.2,47,1.1,1469,1.1,0.0,0.0,2
06/12/2017,416,14,5.5,34,1.0,1966,0.96,0.0,0.0,2
06/12/2017,412,15,5.5,31,3.1,1968,0.72,0.0,0.0,2
06/12/2017,496,16,5.3,37,2.9,2000,0.36,0.0,0.0,2
06/12/2017,239,17,4.1,60,2.5,1565,0.1,0.0,0.0,2
06/12/2017,204,18,1.7,90,1.0,66,0.0,0.3,0.3,2
06/12/2017,205,19,1.2,92,0.7,180,0.0,0.0,1.0,2
06/12/2017,190,20,1.2,94,0.6,228,0.0,0.0,1.0,2
06/12/2017,165,21,1.1,92,0.5,235,0.0,0.7,1.0,2
06/12/2017,222,22,1.3,92,0.6,233,0.0,0.0,1.0,2
06/12/2017,193,23,1.3,92,0.6,209,0.0,0.0,1.0,2
07/12/2017,198,0,1.4,92,0.5,240,0.0,0.0,0.9,3
07/12/2017,218,1,1.5,92,0.4,227,0.0,0.0,0.9,3
07/12/2017,149,2,1.4,92,0.7,168,0.0,0.0,0.9,3
07/12/2017,102,3,1.9,91,1.4,218,0.0,0.0,0.9,3
07/12/2017,62,4,1.6,92,0.7,119,0.0,0.0,0.9,3
07/12/2017,83,5,1.5,92,1.1,175,0.0,0.0,0.9,3
07/12/2017,137,6,1.0,93,0.5,148,0.0,0.0,0.9,3
07/12/2017,367,7,0.3,93,0.5,173,0.0,0.0,0.9,3
07/12/2017,754,8,-0.2,96,0.8,173,0.01,0.0,0.8,3
07/12/2017,415,9,0.1,91,0.8,265,0.14,0.0,0.8,3
07/12/2017,321,10,1.1,83,0.7,311,0.41,0.0,0.7,3
07/12/2017,333,11,2.3,69,1.7,628,0.63,0.0,0.6,3
07/12/2017,431,12,3.7,65,2.4,833,0.98,0.0,0.3,3
07/12/2017,394,13,4.1,37,3.1,1767,1.14,0.0,0.0,3
07/12/2017,390,14,4.4,36,2.7,1975,1.04,0.0,0.0,3
07/12/2017,430,15,4.0,35,3.1,1962,0.84,0.0,0.0,3
07/12/2017,471,16,3.2,38,2.9,1817,0.51,0.0,0.0,3
07/12/2017,552,17,2.1,50,2.0,1434,0.15,0.0,0.0,3
07/12/2017,795,18,0.7,46,2.7,1558,0.0,0.0,0.0,3
07/12/2017,507,19,-0.4,47,2.5,1269,0.0,0.0,0.0,3
07/12/2017,390,20,-1.4,47,2.5,1620,0.0,0.0,0.0,3
07/12/2017,402,21,-2.2,46,2.2,1975,0.0,0.0,0.0,3
07/12/2017,389,22,-2.7,48,2.6,1844,0.0,0.0,0.0,3
07/12/2017,259,23,-3.2,50,2.1,1887,0.0,0.0,0.0,3
08/12/2017,233,0,-3.5,49,2.6,1893,0.0,0.0,0.0,4
08/12/2017,230,1,-3.7,50,2.5,1902,0.0,0.0,0.0,4
08/12/2017,131,2,-4.3,53,1.0,1918,0.0,0.0,0.0,4
08/12/2017,99,3,-4.8,52,1.6,1978,0.0,0.0,0.0,4
08/12/2017,71,4,-5.3,53,2.4,1936,0.0,0.0,0.0,4
08/12/2017,84,5,-5.8,56,2.0,1941,0.0,0.0,0.0,4
08/12/2017,158,6,-6.0,56,3.5,1853,0.0,0.0,0.0,4
08/12/2017,387,7,-6.5,57,0.8,1776,0.0,0.0,0.0,4
08/12/2017,780,8,-7.0,59,0.8,1559,0.01,0.0,0.0,4
08/12/2017,395,9,-6.7,50,0.9,1492,0.23,0.0,0.0,4
08/12/2017,261,10,-5.3,44,2.8,1516,0.63,0.0,0.0,4
08/12/2017,310,11,-3.7,39,1.4,1595,0.93,0.0,0.0,4
08/12/2017,355,12,-2.0,30,1.4,1728,1.14,0.0,0.0,4
08/12/2017,354,13,-1.7,28,1.8,1963,1.22,0.0,0.0,4
08/12/2017,350,14,-1.3,27,3.1,1906,1.12,0.0,0.0,4
08/12/2017,362,15,-0.8,26,3.3,1977,0.87,0.0,0.0,4
08/12/2017,401,16,-1.1,24,3.4,2000,0.56,0.0,0.0,4
08/12/2017,500,17,-2.4,30,2.7,2000,0.18,0.0,0.0,4
08/12/2017,752,18,-3.1,33,1.2,2000,0.0,0.0,0.0,4
08/12/2017,477,19,-3.3,35,1.1,2000,0.0,0.0,0.0,4
08/12/2017,384,20,-3.3,34,1.5,2000,0.0,0.0,0.0,4
08/12/2017,336,21,-3.3,35,0.5,2000,0.0,0.0,0.0,4
08/12/2017,347,22,-3.4,39,1.2,2000,0.0,0.0,0.0,4
08/12/2017,275,23,-3.5,43,0.9,2000,0.0,0.0,0.0,4
09/12/2017,267,0,-3.5,48,0.9,1967,0.0,0.0,0.0,5
09/12/2017,296,1,-4.1,49,0.6,2000,0.0,0.0,0.0,5
09/12/2017,237,2,-4.7,50,0.7,1983,0.0,0.0,0.0,5
09/12/2017,169,3,-4.3,47,0.6,1992,0.0,0.0,0.0,5
09/12/2017,96,4,-4.3,49,0.7,2000,0.0,0.0,0.0,5
09/12/2017,56,5,-4.7,49,0.8,1999,0.0,0.0,0.0,5
09/12/2017,76,6,-5.1,53,0.9,1975,0.0,0.0,0.0,5
09/12/2017,127,7,-5.5,56,0.8,1950,0.0,0.0,0.0,5
09/12/2017,222,8,-5.4,56,0.7,1940,0.01,0.0,0.0,5
09/12/2017,291,9,-4.7,48,1.0,1784,0.23,0.0,0.0,5
09/12/2017,273,10,-2.2,42,1.3,1646,0.61,0.0,0.0,5
09/12/2017,351,11,0.0,45,1.1,1500,0.89,0.0,0.0,5
09/12/2017,427,12,2.4,40,0.8,1809,1.05,0.0,0.0,5
09/12/2017,431,13,3.9,36,2.0,1702,1.13,0.0,0.0,5
09/12/2017,486,14,4.7,32,2.2,1948,1.06,0.0,0.0,5
09/12/2017,569,15,5.2,30,2.0,1963,0.84,0.0,0.0,5
09/12/2017,546,16,4.4,33,1.6,1963,0.4,0.0,0.0,5
09/12/2017,481,17,3.5,37,1.8,1963,0.1,0.0,0.0,5
09/12/2017,384,18,2.5,41,1.0,1974,0.0,0.0,0.0,5
09/12/2017,275,19,1.5,48,0.4,1878,0.0,0.0,0.0,5
09/12/2017,298,20,0.8,51,1.4,1848,0.0,0.0,0.0,5
09/12/2017,321,21,-0.1,55,0.7,1654,0.0,0.0,0.0,5
09/12/2017,289,22,-0.5,55,0.6,1655,0.0,0.0,0.0,5
09/12/2017,265,23,-0.1,54,1.3,1570,0.0,0.0,0.0,5
10/12/2017,326,0,-0.2,55,1.0,1629,0.0,0.0,0.0,6
10/12/2017,280,1,-0.2,54,0.5,1747,0.0,0.0,0.0,6
10/12/2017,243,2,0.2,52,0.7,1726,0.0,0.0,0.0,6
10/12/2017,169,3,0.3,53,0.5,1748,0.0,0.0,0.0,6
10/12/2017,71,4,0.4,52,1.6,1816,0.0,0.0,0.0,6
10/12/2017,13,5,0.3,74,1.0,178,0.0,0.0,0.7,6
10/12/2017,9,6,-0.5,90,0.9,91,0.0,2.5,2.7,6
10/12/2017,20,7,-0.4,92,1.1,121,0.0,0.0,4.0,6
10/12/2017,35,8,-0.2,90,1.2,378,0.0,0.0,4.1,6
10/12/2017,31,9,0.2,90,1.0,305,0.0,1.6,4.3,6
10/12/2017,19,10,0.5,91,0.4,143,0.0,0.0,4.3,6
10/12/2017,58,11,0.9,92,0.9,137,0.03,0.0,3.9,6
10/12/2017,119,12,2.3,88,0.3,245,0.28,0.0,3.1,6
10/12/2017,182,13,3.3,87,1.1,230,0.54,0.0,2.1,6
10/12/2017,235,14,4.2,85,0.7,325,0.65,0.0,1.4,6
10/12/2017,180,15,6.7,63,4.5,715,0.35,0.0,1.0,6
10/12/2017,214,16,5.4,71,3.5,622,0.2,0.0,0.5,6
10/12/2017,226,17,3.6,65,4.3,1061,0.03,0.0,0.4,6
10/12/2017,210,18,2.0,61,3.0,2000,0.0,0.0,0.0,6
10/12/2017,181,19,1.6,53,4.0,2000,0.0,0.0,0.0,6
10/12/2017,165,20,0.6,57,3.9,1954,0.0,0.0,0.0,6
10/12/2017,167,21,0.0,59,3.0,1862,0.0,0.0,0.0,6
10/12/2017,152,22,-1.0,56,4.7,2000,0.0,0.0,0.0,6
10/12/2017,148,23,-1.4,43,4.3,2000,0.0,0.0,0.0,6
11/12/2017,125,0,-2.5,39,3.4,2000,0.0,0.0,0.0,0
11/12/2017,111,1,-3.4,36,3.8,2000,0.0,0.0,0.0,0
11/12/2017,67,2,-4.2,35,3.4,2000,0.0,0.0,0.0,0
11/12/2017,45,3,-4.7,38,2.4,2000,0.0,0.0,0.0,0
11/12/2017,44,4,-5.2,35,3.2,2000,0.0,0.0,0.0,0
11/12/2017,86,5,-5.6,38,3.2,1974,0.0,0.0,0.0,0
11/12/2017,136,6,-5.9,39,2.9,1979,0.0,0.0,0.0,0
11/12/2017,325,7,-6.0,39,3.1,1996,0.0,0.0,0.0,0
11/12/2017,653,8,-6.0,38,3.6,1994,0.01,0.0,0.0,0
11/12/2017,326,9,-5.9,36,5.1,1941,0.1,0.0,0.0,0
11/12/2017,212,10,-5.3,32,4.5,2000,0.62,0.0,0.0,0
11/12/2017,226,11,-4.7,36,3.8,2000,1.0,0.0,0.0,0
11/12/2017,247,12,-5.2,33,4.6,1973,1.26,0.0,0.0,0
11/12/2017,241,13,-5.4,32,5.1,1986,1.24,0.0,0.0,0
11/12/2017,253,14,-5.4,31,4.1,1945,1.13,0.0,0.0,0
11/12/2017,269,15,-5.5,33,4.5,2000,0.92,0.0,0.0,0
11/12/2017,277,16,-6.0,40,4.0,2000,0.55,0.0,0.0,0
11/12/2017,361,17,-7.1,44,4.2,2000,0.18,0.0,0.0,0
11/12/2017,557,18,-7.9,43,3.3,2000,0.0,0.0,0.0,0
11/12/2017,371,19,-8.6,45,3.9,2000,0.0,0.0,0.0,0
11/12/2017,254,20,-9.3,49,3.8,2000,0.0,0.0,0.0,0
11/12/2017,266,21,-9.7,51,2.5,2000,0.0,0.0,0.0,0
11/12/2017,222,22,-10.2,50,3.0,2000,0.0,0.0,0.0,0
11/12/2017,174,23,-10.7,53,1.2,2000,0.0,0.0,0.0,0
12/12/2017,133,0,-11.0,51,1.1,2000,0.0,0.0,0.0,1
12/12/2017,127,1,-11.2,51,1.1,2000,0.0,0.0,0.0,1
12/12/2017,95,2,-11.5,50,0.7,2000,0.0,0.0,0.0,1
12/12/2017,54,3,-11.6,50,2.2,1995,0.0,0.0,0.0,1
12/12/2017,46,4,-11.6,47,2.1,1982,0.0,0.0,0.0,1
12/12/2017,65,5,-11.6,45,2.8,1951,0.0,0.0,0.0,1
12/12/2017,104,6,-11.8,47,2.5,1973,0.0,0.0,0.0,1
12/12/2017,280,7,-12.1,50,2.3,1929,0.0,0.0,0.0,1
12/12/2017,580,8,-12.3,52,1.3,1914,0.0,0.0,0.0,1
12/12/2017,275,9,-11.8,46,2.9,1956,0.1,0.0,0.0,1
12/12/2017,184,10,-10.5,45,3.3,1855,0.6,0.0,0.0,1
12/12/2017,201,11,-9.4,42,3.1,1815,0.93,0.0,0.0,1
12/12/2017,228,12,-8.3,35,2.9,1967,1.14,0.0,0.0,1
12/12/2017,225,13,-6.9,37,2.4,1955,1.22,0.0,0.0,1
12/12/2017,258,14,-5.4,32,2.0,1930,1.12,0.0,0.0,1
12/12/2017,250,15,-5.8,30,2.8,2000,0.92,0.0,0.0,1
12/12/2017,248,16,-6.0,29,2.8,1983,0.58,0.0,0.0,1
12/12/2017,305,17,-7.0,32,2.6,2000,0.19,0.0,0.0,1
12/12/2017,529,18,-7.7,36,1.0,2000,0.0,0.0,0.0,1
12/12/2017,350,19,-8.2,43,1.1,2000,0.0,0.0,0.0,1
12/12/2017,260,20,-8.4,42,1.0,2000,0.0,0.0,0.0,1
12/12/2017,270,21,-8.8,43,1.4,1999,0.0,0.0,0.0,1
12/12/2017,256,22,-9.0,45,1.3,1999,0.0,0.0,0.0,1
12/12/2017,173,23,-9.3,47,2.1,2000,0.0,0.0,0.0,1
13/12/2017,168,0,-9.5,48,1.3,1996,0.0,0.0,0.0,2
13/12/2017,183,1,-10.2,52,1.6,1997,0.0,0.0,0.0,2
13/12/2017,120,2,-10.4,53,1.8,1949,0.0,0.0,0.0,2
13/12/2017,79,3,-10.9,55,1.8,1913,0.0,0.0,0.0,2
13/12/2017,41,4,-11.4,58,1.3,1907,0.0,0.0,0.0,2
13/12/2017,68,5,-11.5,58,1.1,1923,0.0,0.0,0.0,2
13/12/2017,109,6,-11.9,57,1.1,1974,0.0,0.0,0.0,2
13/12/2017,310,7,-11.7,53,1.6,1998,0.0,0.0,0.0,2
13/12/2017,591,8,-11.4,47,3.3,2000,0.0,0.0,0.0,2
13/12/2017,340,9,-11.1,46,3.4,1981,0.1,0.0,0.0,2
13/12/2017,202,10,-9.5,39,2.1,1875,0.6,0.0,0.0,2
13/12/2017,251,11,-8.1,35,1.8,1806,0.96,0.0,0.0,2
13/12/2017,267,12,-6.5,30,2.9,1945,1.17,0.0,0.0,2
13/12/2017,251,13,-5.8,28,2.9,1887,1.23,0.0,0.0,2
13/12/2017,240,14,-4.7,27,2.9,1883,1.12,0.0,0.0,2
13/12/2017,240,15,-4.9,26,3.1,1887,0.89,0.0,0.0,2
13/12/2017,278,16,-4.5,26,2.2,2000,0.56,0.0,0.0,2
13/12/2017,392,17,-5.6,29,1.7,2000,0.18,0.0,0.0,2
13/12/2017,537,18,-6.6,33,1.1,2000,0.0,0.0,0.0,2
13/12/2017,373,19,-6.6,31,1.6,2000,0.0,0.0,0.0,2
13/12/2017,263,20,-7.6,35,0.8,2000,0.0,0.0,0.0,2
13/12/2017,271,21,-8.3,39,1.0,2000,0.0,0.0,0.0,2
13/12/2017,271,22,-8.9,39,0.1,2000,0.0,0.0,0.0,2
13/12/2017,174,23,-9.2,44,0.4,1978,0.0,0.0,0.0,2
14/12/2017,171,0,-9.5,50,0.6,1953,0.0,0.0,0.0,3
14/12/2017,170,1,-9.8,48,0.8,2000,0.0,0.0,0.0,3
14/12/2017,107,2,-10.6,44,0.8,1903,0.0,0.0,0.0,3
14/12/2017,80,3,-10.7,48,0.4,1651,0.0,0.0,0.0,3
14/12/2017,52,4,-11.0,50,0.8,1718,0.0,0.0,0.0,3
14/12/2017,62,5,-10.8,48,0.8,1648,0.0,0.0,0.0,3
14/12/2017,108,6,-11.0,55,0.8,1541,0.0,0.0,0.0,3
14/12/2017,279,7,-10.9,57,1.1,1387,0.0,0.0,0.0,3
14/12/2017,621,8,-10.4,54,1.1,1432,0.01,0.0,0.0,3
14/12/2017,305,9,-9.4,44,0.5,1680,0.13,0.0,0.0,3
14/12/2017,189,10,-7.7,43,0.9,1555,0.35,0.0,0.0,3
14/12/2017,247,11,-6.1,38,1.0,1587,0.52,0.0,0.0,3
14/12/2017,278,12,-4.9,34,1.3,1768,0.6,0.0,0.0,3
14/12/2017,282,13,-3.8,32,0.9,1827,0.52,0.0,0.0,3
14/12/2017,294,14,-2.7,28,0.7,1857,0.65,0.0,0.0,3
14/12/2017,301,15,-2.5,29,1.1,1667,0.48,0.0,0.0,3
14/12/2017,335,16,-2.4,28,0.9,1878,0.35,0.0,0.0,3
14/12/2017,382,17,-2.9,31,0.6,1723,0.09,0.0,0.0,3
14/12/2017,612,18,-3.5,35,1.1,1414,0.0,0.0,0.0,3
14/12/2017,410,19,-4.2,40,0.9,1216,0.0,0.0,0.0,3
14/12/2017,277,20,-4.8,43,1.1,1397,0.0,0.0,0.0,3
14/12/2017,316,21,-4.8,45,0.8,1351,0.0,0.0,0.0,3
14/12/2017,309,22,-4.9,44,1.1,1369,0.0,0.0,0.0,3
14/12/2017,211,23,-5.6,53,1.2,1290,0.0,0.0,0.0,3
15/12/2017,227,0,-5.7,53,0.6,1262,0.0,0.0,0.0,4
15/12/2017,241,1,-6.3,57,0.4,1148,0.0,0.0,0.0,4
15/12/2017,162,2,-6.8,58,0.4,1089,0.0,0.0,0.0,4
15/12/2017,110,3,-6.9,56,0.5,1111,0.0,0.0,0.0,4
15/12/2017,69,4,-7.1,59,0.8,1058,0.0,0.0,0.0,4
15/12/2017,68,5,-7.5,64,0.9,989,0.0,0.0,0.0,4
15/12/2017,129,6,-7.4,64,0.7,906,0.0,0.0,0.0,4
15/12/2017,285,7,-7.0,63,0.6,865,0.0,0.0,0.0,4
15/12/2017,658,8,-6.6,64,1.1,791,0.0,0.0,0.0,4
15/12/2017,330,9,-5.9,60,0.6,691,0.09,0.0,0.0,4
15/12/2017,221,10,-4.6,52,0.8,648,0.34,0.0,0.0,4
15/12/2017,279,11,-2.9,46,1.0,809,0.42,0.0,0.0,4
15/12/2017,309,12,-2.5,43,0.7,895,0.34,0.0,0.0,4
15/12/2017,325,13,-1.6,40,0.3,868,0.32,0.0,0.0,4
15/12/2017,329,14,-0.7,39,0.8,826,0.35,0.0,0.0,4
15/12/2017,342,15,0.1,35,1.5,946,0.42,0.0,0.0,4
15/12/2017,354,16,0.0,37,0.6,994,0.13,0.0,0.0,4
15/12/2017,464,17,-0.2,39,0.8,1016,0.0,0.0,0.0,4
15/12/2017,682,18,0.1,43,0.9,1485,0.0,0.0,0.0,4
15/12/2017,451,19,0.6,41,1.2,1550,0.0,0.0,0.0,4
15/12/2017,320,20,0.9,42,1.2,1113,0.0,0.0,0.0,4
15/12/2017,300,21,0.7,47,2.7,1283,0.0,0.0,0.0,4
15/12/2017,296,22,-0.1,49,2.0,870,0.0,0.0,0.0,4
